datetime,open,high,low,close,volume,EMA_5,EMA_20
2025-09-22 09:15:00+05:30,55429.3,55620.9,55315.55,55581.2,0.0,55581.2,55581.2
2025-09-22 10:15:00+05:30,55581.95,55666.35,55532.4,55550.25,0.0,55570.88333333334,55578.25238095238
2025-09-22 11:15:00+05:30,55550.85,55582.35,55472.7,55541.15,0.0,55560.97222222223,55574.71882086167
2025-09-22 12:15:00+05:30,55540.95,55619.5,55520.2,55586.25,0.0,55569.39814814816,55575.817028398655
2025-09-22 13:15:00+05:30,55587.9,55588.25,55412.9,55480.4,0.0,55539.732098765446,55566.72969236069
2025-09-22 14:15:00+05:30,55482.6,55484.15,55215.6,55273.65,0.0,55451.03806584363,55538.81734070729
2025-09-22 15:15:00+05:30,55273.45,55320.1,55260.3,55280.7,0.0,55394.258710562426,55514.23473683041
2025-09-23 09:15:00+05:30,55248.7,55367.6,55159.0,55317.65,0.0,55368.72247370829,55495.5123809418
2025-09-23 10:15:00+05:30,55316.3,55329.15,55199.8,55214.2,0.0,55317.21498247219,55468.72072561401
2025-09-23 11:15:00+05:30,55214.85,55322.3,55181.55,55317.9,0.0,55317.44332164813,55454.356846984105
2025-09-23 12:15:00+05:30,55317.05,55581.3,55303.05,55522.85,0.0,55385.912214432086,55460.88000441419
2025-09-23 13:15:00+05:30,55522.75,55662.0,55507.0,55544.5,0.0,55438.77480962139,55468.843813517604
2025-09-23 14:15:00+05:30,55546.35,55604.2,55474.3,55512.5,0.0,55463.34987308093,55473.00154556355
2025-09-23 15:15:00+05:30,55512.2,55561.35,55496.65,55555.65,0.0,55494.11658205396,55480.87282693845
2025-09-24 09:15:00+05:30,55387.1,55511.1,55226.6,55321.5,0.0,55436.577721369315,55465.69446246812
2025-09-24 10:15:00+05:30,55322.1,55355.6,55051.85,55121.15,0.0,55331.43514757955,55432.880704137824
2025-09-24 11:15:00+05:30,55121.65,55158.35,55081.35,55156.7,0.0,55273.19009838637,55406.577779934225
2025-09-24 12:15:00+05:30,55156.15,55241.5,55118.55,55235.55,0.0,55260.64339892425,55390.28941994049
2025-09-24 13:15:00+05:30,55234.4,55283.75,55123.35,55136.2,0.0,55219.162265949504,55366.09042756521
2025-09-24 14:15:00+05:30,55136.4,55176.8,55040.45,55144.35,0.0,55194.22484396634,55344.97229160662
2025-09-24 15:15:00+05:30,55146.35,55157.0,55111.95,55131.4,0.0,55173.283229310895,55324.63207335836
2025-09-25 09:15:00+05:30,55061.65,55252.8,54993.55,55153.05,0.0,55166.5388195406,55308.29092351471
2025-09-25 10:15:00+05:30,55153.0,55191.8,55071.6,55136.4,0.0,55156.4925463604,55291.92035937045
2025-09-25 11:15:00+05:30,55136.95,55190.65,55020.2,55069.55,0.0,55127.5116975736,55270.742229906595
2025-09-25 12:15:00+05:30,55066.25,55276.65,55055.1,55216.9,0.0,55157.307798382404,55265.61439848691
2025-09-25 13:15:00+05:30,55221.0,55256.2,55137.3,55192.15,0.0,55168.92186558827,55258.61778910721
2025-09-25 14:15:00+05:30,55186.6,55204.65,54928.7,54944.9,0.0,55094.24791039219,55228.73990443033
2025-09-25 15:15:00+05:30,54946.65,54977.0,54903.3,54950.95,0.0,55046.48194026146,55202.28372305602
2025-09-26 09:15:00+05:30,54797.9,54897.0,54593.2,54650.45,0.0,54914.471293507646,55149.728130384014
2025-09-26 10:15:00+05:30,54651.95,54719.35,54538.45,54562.6,0.0,54797.180862338435,55093.81116558554
2025-09-26 11:15:00+05:30,54566.45,54593.2,54499.95,54560.55,0.0,54718.30390822563,55043.02438791073
2025-09-26 12:15:00+05:30,54560.4,54630.05,54528.4,54564.75,0.0,54667.11927215043,54997.47444620494
2025-09-26 13:15:00+05:30,54565.95,54578.45,54310.95,54372.7,0.0,54568.97951476695,54937.97211799495
2025-09-26 14:15:00+05:30,54371.3,54429.3,54324.55,54394.55,0.0,54510.83634317797,54886.21763056686
2025-09-26 15:15:00+05:30,54393.35,54422.2,54371.2,54417.35,0.0,54479.67422878531,54841.56357051287
2025-09-29 09:15:00+05:30,54460.4,54625.7,54366.2,54585.1,0.0,54514.81615252355,54817.138468559264
2025-09-29 10:15:00+05:30,54584.4,54686.05,54503.8,54517.0,0.0,54515.544101682375,54788.553852506
2025-09-29 11:15:00+05:30,54514.0,54519.45,54253.75,54279.5,0.0,54436.86273445492,54740.07253321971
2025-09-29 12:15:00+05:30,54278.5,54504.3,54226.6,54497.4,0.0,54457.04182296994,54716.96086338926
2025-09-29 13:15:00+05:30,54500.35,54672.05,54421.2,54607.15,0.0,54507.07788197997,54706.50268592361
2025-09-29 14:15:00+05:30,54610.2,54649.15,54383.95,54471.75,0.0,54495.30192131998,54684.14528726421
2025-09-29 15:15:00+05:30,54473.95,54586.45,54445.25,54541.35,0.0,54510.65128087999,54670.545736096195
2025-09-30 09:15:00+05:30,54705.5,54793.05,54564.65,54578.8,0.0,54533.36752058667,54661.80804694418
2025-09-30 10:15:00+05:30,54579.0,54672.85,54502.95,54645.25,0.0,54570.66168039112,54660.231090092355
2025-09-30 11:15:00+05:30,54645.5,54690.95,54562.55,54670.3,0.0,54603.874453594086,54661.19003389308
2025-09-30 12:15:00+05:30,54670.65,54771.15,54667.5,54732.25,0.0,54646.66630239606,54667.957649712785
2025-09-30 13:15:00+05:30,54732.2,54761.15,54560.65,54610.1,0.0,54634.4775349307,54662.44739735919
2025-09-30 14:15:00+05:30,54614.05,54717.1,54538.5,54665.45,0.0,54644.801689953805,54662.733359515456
2025-09-30 15:15:00+05:30,54661.85,54686.4,54625.8,54679.75,0.0,54656.451126635875,54664.35399194255
2025-10-01 09:15:00+05:30,54653.9,54968.1,54582.55,54940.65,0.0,54751.18408442392,54690.66789747184
2025-10-01 10:15:00+05:30,54937.25,55080.55,54855.95,55079.1,0.0,54860.48938961595,54727.66143104595
2025-10-01 11:15:00+05:30,55078.1,55394.35,55077.6,55290.4,0.0,55003.792926410635,54781.25558047014
2025-10-01 12:15:00+05:30,55289.9,55317.8,55179.75,55267.05,0.0,55091.54528427376,54827.52171566346
2025-10-01 13:15:00+05:30,55266.5,55391.2,55226.4,55337.95,0.0,55173.68018951584,54876.13393321932
2025-10-01 14:15:00+05:30,55341.7,55406.75,55294.3,55312.2,0.0,55219.85345967724,54917.66403481748
2025-10-01 15:15:00+05:30,55313.05,55390.45,55307.05,55386.65,0.0,55275.452306451494,54962.32936483486
2025-10-03 09:15:00+05:30,55182.6,55536.25,55177.0,55466.9,0.0,55339.268204301,55010.38371104107
2025-10-03 10:15:00+05:30,55466.05,55478.05,55331.4,55460.9,0.0,55379.81213620067,55053.29002427525
2025-10-03 11:15:00+05:30,55463.4,55579.85,55413.0,55531.65,0.0,55430.42475746712,55098.848117201414
2025-10-03 12:15:00+05:30,55529.65,55567.95,55452.85,55559.5,0.0,55473.44983831141,55142.719725086994
2025-10-03 13:15:00+05:30,55555.0,55557.95,55463.1,55488.8,0.0,55478.566558874285,55175.679751269185
2025-10-03 14:15:00+05:30,55490.65,55616.45,55489.0,55582.8,0.0,55513.31103924953,55214.45310829116
2025-10-03 15:15:00+05:30,55586.4,55608.4,55543.25,55596.95,0.0,55541.19069283302,55250.88138369201
2025-10-06 09:15:00+05:30,55834.7,55975.15,55727.25,55967.65,0.0,55683.34379522202,55319.14506143563
2025-10-06 10:15:00+05:30,55971.15,56052.7,55920.9,56041.8,0.0,55802.82919681468,55387.96934129891
2025-10-06 11:15:00+05:30,56041.45,56066.85,55953.1,56065.8,0.0,55890.48613120979,55452.52464212758
2025-10-06 12:15:00+05:30,56065.35,56164.2,56046.65,56147.3,0.0,55976.09075413986,55518.69372382972
2025-10-06 13:15:00+05:30,56144.35,56159.05,55980.9,56063.1,0.0,56005.09383609324,55570.54194060784
2025-10-06 14:15:00+05:30,56064.55,56130.65,56008.7,56113.15,0.0,56041.1125573955,55622.21889864519
2025-10-06 15:15:00+05:30,56110.45,56113.85,56052.2,56087.6,0.0,56056.608371597,55666.540908298026
2025-10-07 09:15:00+05:30,56126.4,56384.25,56025.05,56331.0,0.0,56148.07224773134,55729.82272655536
2025-10-07 10:15:00+05:30,56333.85,56373.8,56290.55,56308.3,0.0,56201.48149848756,55784.91580021675
2025-10-07 11:15:00+05:30,56311.35,56431.35,56171.15,56391.75,0.0,56264.904332325044,55842.70953352944
2025-10-07 12:15:00+05:30,56392.35,56444.45,56346.6,56417.55,0.0,56315.786221550035,55897.45624462188
2025-10-07 13:15:00+05:30,56415.85,56502.45,56358.0,56450.55,0.0,56360.70748103336,55950.13184037218
2025-10-07 14:15:00+05:30,56447.55,56463.55,56197.55,56214.35,0.0,56311.92165402224,55975.29547462245
2025-10-07 15:15:00+05:30,56212.4,56248.35,56159.85,56215.6,0.0,56279.81443601483,55998.1816198965
